10 1.1e-05 68 154 62
11 7e-06 36 32 8
12 8e-06 30 38 8
13 8e-06 25 43 8
14 8e-06 39 51 14
15 9e-06 33 53 17
16 1e-05 37 61 26
17 1e-05 37 67 18
18 1.1e-05 37 71 18
19 1.3e-05 41 83 32
20 1.4e-05 43 87 22
22 1.8e-05 444 102 20
24 2e-05 45 116 15
26 2.5e-05 42 139 22
28 3e-05 47 157 22
30 3.7e-05 86 177 28
33 4.7e-05 227 224 49
36 5.6e-05 243 266 46
39 7.2e-05 591 312 45
42 8.8e-05 594 360 47
46 0.000114 244 441 108
50 0.000147 279 534 129
55 0.000196 309 730 115
60 0.00028 376 901 180
66 0.000342 1381 1280 159
72 0.000443 2404 1903 243
79 0.000596 2867 2962 373
86 0.000808 15411 4156 412
94 0.001031 1923 6450 518
103 0.001355 1989 9021 481
113 0.001833 2241 12171 785
124 0.002436 2881 13343 827
136 0.002742 9435 17347 1618
149 0.003611 13352 27412 2088
163 0.004926 74630 32119 3085
179 0.006866 201483 42904 4342
196 0.00859 14590 51404 5025
215 0.01154 16224 76760 6936
236 0.015376 20648 97615 10075
259 0.020053 43173 168560 15971
284 0.024914 93876 165656 20267
312 0.033381 123999 222583 29526
343 0.047692 1.37273e+06 527842 44457
377 0.060276 107638 426567 66731
414 0.081203 117544 636092 99664
455 0.109731 132077 936919 150758
500 0.147255 165566 1.05211e+06 199938
550 0.179092 680299 1.62245e+06 328479
605 0.242623 686906 2.16206e+06 515885
665 0.329154 813432 2.837e+06 692244
731 0.445396 3.53409e+06 5.56647e+06 931899
804 0.590164 913785 5.49617e+06 1.23847e+06
884 0.802673 1.0217e+06 7.808e+06 1.67999e+06
972 1.07692 1.13492e+06 9.69478e+06 1.87769e+06
1069 1.31546 4.91301e+06 1.29894e+07 2.69533e+06
1175 1.77395 5.33193e+06 1.69032e+07 4.40916e+06
1292 2.39144 8.7341e+06 2.03207e+07 5.08222e+06
1421 3.45509 1.06491e+08 2.36316e+07 5.65813e+06
1563 4.34083 6.92206e+06 2.91067e+07 6.86657e+06
1719 5.87357 8.06809e+06 3.82874e+07 8.69426e+06
1890 7.88647 9.11594e+06 5.05476e+07 1.67099e+07
