10 1.2e-05 120 149 62
11 8e-06 95 40 18
12 8e-06 63 43 8
13 9e-06 129 47 12
14 9e-06 46 52 16
15 1e-05 139 58 15
16 1e-05 50 65 10
17 1.2e-05 245 76 8
18 1.3e-05 203 88 11
19 1.4e-05 249 93 17
20 1.4e-05 143 104 29
22 1.7e-05 193 118 20
24 2e-05 145 133 12
26 2.4e-05 362 156 16
28 2.7e-05 151 173 29
30 3.3e-05 256 196 21
33 4.5e-05 500 240 36
36 5.7e-05 670 293 44
39 7.2e-05 1120 330 56
42 8.6e-05 1288 383 43
46 0.000105 1092 479 50
50 0.000134 2116 572 51
55 0.000169 1697 765 119
60 0.000214 1203 973 78
66 0.000295 2474 1409 183
72 0.000399 2421 2141 236
79 0.000547 7518 3767 410
86 0.000666 7398 4887 378
94 0.000842 7323 6730 445
103 0.001097 15136 9993 527
113 0.001387 6987 13304 867
124 0.001847 10105 13863 914
136 0.002547 16716 19439 1356
149 0.003572 33133 33657 1998
163 0.00459 50410 37534 2629
179 0.005809 47659 49530 3841
196 0.007582 71196 60373 5870
215 0.009899 95707 83579 8581
236 0.012933 91687 102074 10708
259 0.016851 73063 198267 16013
284 0.02418 167322 191624 20651
312 0.03435 370807 259521 32690
343 0.043662 452845 744691 52329
377 0.055213 423564 482455 66628
414 0.071556 646098 713977 100605
455 0.090708 483688 1.13626e+06 152473
500 0.120959 590099 1.16097e+06 203571
550 0.170099 1.25906e+06 1.62582e+06 329422
605 0.239949 2.34407e+06 2.35048e+06 527925
665 0.310505 3.49132e+06 3.06573e+06 701700
731 0.396791 3.50377e+06 5.9905e+06 941565
804 0.525675 5.89545e+06 5.91289e+06 1.29369e+06
884 0.675242 4.39689e+06 7.71859e+06 1.73208e+06
972 0.882604 4.27696e+06 1.02637e+07 1.94511e+06
1069 1.22043 7.4642e+06 1.36492e+07 2.91359e+06
1175 1.7453 1.2338e+07 2.08018e+07 5.10695e+06
1292 2.27809 2.35406e+07 2.28838e+07 5.53612e+06
1421 2.89836 2.09606e+07 2.66701e+07 5.95514e+06
1563 3.8146 3.33601e+07 3.27064e+07 7.4609e+06
1719 5.04133 4.71634e+07 4.1482e+07 9.27331e+06
1890 6.57109 4.4633e+07 5.22157e+07 1.83354e+07
