10 2.3e-05 47 216 72
11 1.7e-05 29 66 19
12 1.8e-05 147 98 43
13 1.8e-05 55 54 14
14 1.8e-05 28 61 8
15 1.9e-05 26 111 39
16 1.9e-05 32 73 14
17 2e-05 32 74 12
18 2.3e-05 49 129 59
19 2.3e-05 30 91 11
20 2.4e-05 34 98 14
22 2.8e-05 34 163 57
24 3.3e-05 38 133 36
26 5.2e-05 41 252 161
28 4.4e-05 40 172 26
30 5.6e-05 56 199 41
33 6.5e-05 117 266 68
36 9.3e-05 1298 270 42
39 0.000106 1535 370 120
42 0.000112 262 421 102
46 0.000177 252 449 62
50 0.00018 277 563 119
55 0.000239 323 812 245
60 0.000312 327 994 257
66 0.00046 391 1988 308
72 0.00066 1623 3147 624
79 0.000843 6522 3769 834
86 0.000973 13488 5124 758
94 0.001275 1889 7586 1225
103 0.001597 2102 10397 1221
113 0.002172 2294 13513 1730
124 0.002877 2457 15683 2429
136 0.003846 6250 21949 2864
149 0.005231 8539 28870 5563
163 0.006526 89206 38616 6356
179 0.008675 98079 52837 12547
196 0.013109 14991 73325 24037
215 0.016212 16424 99346 27537
236 0.021325 19543 133309 44017
259 0.027468 20133 174376 41275
284 0.042551 383722 252736 92764
312 0.059966 142051 330326 139886
343 0.073148 469493 674002 174838
377 0.088245 114142 593235 226631
414 0.109764 125683 824093 286599
455 0.146912 136731 1.16576e+06 397516
500 0.217764 161164 1.43505e+06 585961
550 0.302242 1.86207e+06 2.13143e+06 873800
605 0.394441 779960 2.77359e+06 1.15086e+06
665 0.454799 986088 3.90593e+06 1.44564e+06
731 0.689065 2.57198e+06 8.49588e+06 2.41293e+06
804 0.863319 987267 7.59544e+06 2.82352e+06
884 1.20103 1.08705e+06 1.07433e+07 4.22545e+06
972 1.51188 1.18409e+06 1.25661e+07 4.1171e+06
