10 4.9e-05 433 165 64
11 4.4e-05 268 67 14
12 5e-05 156 62 25
13 6.3e-05 414 70 18
14 7.2e-05 229 73 23
15 8.4e-05 273 79 24
16 9.8e-05 215 91 30
17 0.000126 759 100 11
18 0.00015 913 107 33
19 0.000165 775 114 27
20 0.000178 406 123 20
22 0.000236 851 138 19
24 0.000291 461 155 32
26 0.000425 1956 285 49
28 0.000478 1382 199 37
30 0.000566 1434 218 27
33 0.000768 2417 264 35
36 0.001006 3600 309 51
39 0.001256 3409 471 92
42 0.001589 5516 412 70
46 0.001535 5687 698 138
50 0.001108 8410 651 117
55 0.001471 9687 896 114
60 0.001899 9970 1316 268
66 0.002493 14791 1706 120
72 0.003308 24752 2230 278
79 0.004327 23658 3872 463
86 0.005646 41908 4887 485
94 0.007257 37286 6570 709
103 0.009877 76957 9555 1018
113 0.012593 60688 11545 1224
124 0.016512 76638 11955 1535
136 0.022289 164974 16914 1939
149 0.029463 237741 25773 2576
163 0.037727 193575 32241 3856
179 0.05069 348530 42668 6000
196 0.065725 370334 51435 7756
215 0.088107 643772 69150 9543
236 0.114725 637588 92047 12915
259 0.14934 609683 152555 17172
284 0.203417 1.58692e+06 154950 23724
312 0.27084 1.70444e+06 220212 37378
343 0.3562 2.48382e+06 613401 51574
377 0.465816 2.26995e+06 388194 77557
414 0.630607 4.80663e+06 539722 105449
455 0.826135 4.19581e+06 858686 144697
500 1.08096 4.70838e+06 872239 218635
550 1.48218 1.11987e+07 1.19342e+06 324638
605 1.97947 1.55554e+07 1.70954e+06 475576
665 2.59193 1.59847e+07 2.32753e+06 647064
731 3.45518 2.2458e+07 4.41576e+06 924918
804 4.62317 3.26504e+07 5.00852e+06 1.37086e+06
884 6.08833 3.3661e+07 6.25336e+06 1.77742e+06
972 8.05241 4.03875e+07 7.28181e+06 1.93828e+06
1069 10.7891 6.88619e+07 1.09729e+07 2.98659e+06
1175 14.536 1.13664e+08 1.58261e+07 4.74863e+06
1292 18.8213 8.09293e+07 1.83299e+07 5.16838e+06
1421 25.547 1.7817e+08 2.23111e+07 6.03572e+06
1563 33.5949 1.76081e+08 2.7375e+07 7.55041e+06
1719 45.4952 3.28339e+08 3.47246e+07 9.55907e+06
1890 59.5798 3.27343e+08 4.69639e+07 1.6762e+07
