10 1.1e-05 57 149 51
11 8e-06 41 40 7
12 7e-06 35 36 1
13 8e-06 65 39 3
14 9e-06 33 46 3
15 9e-06 37 56 20
16 1.1e-05 36 61 8
17 1.1e-05 104 68 4
18 1.3e-05 75 73 5
19 1.4e-05 41 80 4
20 1.5e-05 37 87 16
22 1.8e-05 43 103 20
24 2.2e-05 117 123 17
26 2.7e-05 52 139 15
28 3.2e-05 45 161 15
30 3.9e-05 70 185 11
33 5.5e-05 1172 224 35
36 6.6e-05 1308 261 35
39 8.6e-05 1539 305 32
42 0.000104 1817 354 55
46 0.000137 2170 425 59
50 0.000179 2556 491 66
55 0.000241 3088 593 88
60 0.000318 3693 726 103
66 0.000431 4423 877 101
72 0.000566 5272 1183 104
79 0.00076 6329 1442 211
86 0.000886 15194 3780 289
94 0.00119 18101 4583 277
103 0.001596 21678 6417 506
113 0.002132 26013 8430 510
124 0.002712 31345 9547 709
136 0.003627 37575 12445 1165
149 0.00482 45037 39181 1206
163 0.005612 76611 29875 3105
179 0.007711 131311 35656 3997
196 0.010271 156981 43620 5458
215 0.013799 188606 52595 7305
236 0.018438 226754 65549 10116
259 0.024856 272851 108831 15394
284 0.033166 327484 185952 20734
312 0.044314 394937 336230 28139
343 0.053312 943207 2.00326e+06 46452
377 0.072201 1.16248e+06 330195 69118
414 0.097294 1.3991e+06 412779 114454
455 0.131976 1.68696e+06 1.15442e+06 140444
500 0.175958 2.03376e+06 794614 204835
550 0.239981 2.45743e+06 5.37626e+06 282896
605 0.345722 2.96931e+06 1.85004e+07 469087
665 0.38963 5.62433e+06 2.51855e+06 712456
731 0.529482 8.74658e+06 8.89098e+07 912959
804 0.709584 1.05594e+07 5.24359e+06 1.28588e+06
884 0.965783 1.27425e+07 2.8792e+07 1.83255e+06
972 1.29474 1.53813e+07 1.97667e+07 1.98726e+06
1069 1.75426 1.85707e+07 2.82762e+07 2.88186e+06
1175 2.35822 2.24008e+07 8.32803e+07 4.03231e+06
1292 2.90053 4.38305e+07 3.05149e+07 5.14937e+06
1421 3.81213 6.06574e+07 1.93527e+07 5.62521e+06
1563 5.21736 7.98512e+07 2.18612e+07 6.85397e+06
1719 7.0656 9.64047e+07 2.62836e+07 8.73962e+06
1890 9.50334 1.1633e+08 3.32861e+07 1.68313e+07
