10 2.3e-05 39 255 149
11 1.6e-05 29 42 6
12 1.7e-05 27 53 6
13 1.8e-05 47 91 43
14 1.7e-05 24 58 7
15 1.8e-05 34 60 21
16 2e-05 31 110 43
17 2e-05 124 77 16
18 2.1e-05 50 85 9
19 2.3e-05 73 130 44
20 2.3e-05 27 111 17
22 3e-05 151 223 85
24 3.1e-05 146 131 38
26 3.5e-05 191 154 10
28 4.2e-05 184 221 59
30 5.1e-05 176 196 40
33 0.00014 392 574 206
36 0.000108 157 481 172
39 0.00012 297 848 268
42 0.0001 800 434 168
46 0.000164 906 457 48
50 0.000155 1021 576 101
55 0.000208 1176 787 275
60 0.000271 1118 983 254
66 0.000359 2267 1420 326
72 0.000443 775 2437 371
79 0.00062 1339 3894 577
86 0.000805 7166 5314 911
94 0.001042 7261 7066 1121
103 0.001401 7770 10621 1549
113 0.001853 9376 13760 1803
124 0.002456 9052 15076 2322
136 0.002929 7173 20706 4188
149 0.003927 12720 31937 4365
163 0.005218 26413 38782 7296
179 0.00703 54254 49433 9469
196 0.009409 60057 61794 12943
215 0.012541 62616 87537 19706
236 0.017782 69747 121396 32115
259 0.022785 102186 213697 41277
284 0.027007 67441 200837 49293
312 0.036233 80936 279295 71882
343 0.059246 432233 824085 164332
377 0.069237 451592 595969 198009
414 0.087928 479542 827743 249468
455 0.122032 649547 1.36331e+06 351045
500 0.16487 588249 1.36904e+06 378045
550 0.203925 513270 2.017e+06 632903
605 0.26391 598422 2.68344e+06 844204
665 0.366596 2.5745e+06 3.61453e+06 1.20394e+06
731 0.495648 3.44754e+06 6.68115e+06 1.6012e+06
804 0.663131 3.73246e+06 6.9228e+06 2.08781e+06
884 0.915566 4.15735e+06 9.31833e+06 2.84797e+06
972 1.31431 4.7406e+06 1.30558e+07 3.95035e+06
