10 2.2e-05 445 167 60
11 2e-05 323 59 33
12 2.3e-05 190 58 23
13 3e-05 520 63 18
14 3.5e-05 494 67 19
15 3.9e-05 408 78 20
16 4.3e-05 186 91 26
17 5.4e-05 640 98 26
18 6.2e-05 540 104 35
19 7.1e-05 610 117 25
20 7.9e-05 372 115 33
22 0.000107 886 139 22
24 0.000135 685 153 41
26 0.000185 1982 248 37
28 0.000206 862 195 38
30 0.000261 1674 221 37
33 0.000349 2533 269 44
36 0.00045 3529 306 31
39 0.000566 3675 362 59
42 0.000701 4811 416 68
46 0.00093 5914 655 99
50 0.001195 9208 652 80
55 0.001571 9609 926 120
60 0.001993 10697 1425 200
66 0.002557 15764 1720 232
72 0.003368 25389 2385 337
79 0.00439 23357 4115 428
86 0.005747 42847 5587 480
94 0.007396 38188 7233 728
103 0.009916 77394 10135 828
113 0.012856 66035 12186 1133
124 0.016826 75609 12887 1730
136 0.02268 168112 19169 2043
149 0.029965 233659 31723 2719
163 0.03845 206078 38254 3812
179 0.051494 351925 49890 5658
196 0.066961 387662 57362 7389
215 0.089878 657183 77898 11504
236 0.11674 643880 99606 13419
259 0.152823 663813 168285 17637
284 0.207207 1.62666e+06 183276 24604
312 0.27111 1.68044e+06 253999 32598
343 0.362913 2.60195e+06 691237 54352
377 0.476535 2.30936e+06 435640 79185
414 0.640628 4.97059e+06 601863 104338
455 0.834559 4.28635e+06 931087 143024
500 1.10209 4.50559e+06 936424 229341
550 1.49958 1.13532e+07 1.35313e+06 339167
605 1.99853 1.50334e+07 1.88343e+06 482130
665 2.63469 1.68779e+07 2.50807e+06 661407
731 3.4867 2.24896e+07 4.6556e+06 943843
804 4.67765 3.35307e+07 5.12003e+06 1.38512e+06
884 6.15086 3.387e+07 6.58997e+06 1.86184e+06
972 8.11633 3.96298e+07 7.70545e+06 1.95074e+06
1069 10.9074 6.90226e+07 1.17051e+07 3.02429e+06
1175 14.6594 1.12989e+08 1.65658e+07 4.74306e+06
1292 19.0012 8.48897e+07 1.8686e+07 5.16284e+06
1421 25.7145 1.77685e+08 2.2347e+07 5.95306e+06
1563 33.8226 1.80841e+08 2.7349e+07 7.38935e+06
1719 45.7507 3.30808e+08 3.52844e+07 9.48704e+06
1890 59.9827 3.27872e+08 4.80884e+07 1.66217e+07
