10 1.2e-05 69 144 59
11 7e-06 40 37 18
12 8e-06 31 38 14
13 8e-06 49 46 17
14 8e-06 52 50 23
15 9e-06 28 53 17
16 1e-05 37 61 29
17 1.1e-05 37 70 22
18 1.2e-05 36 70 23
19 1.3e-05 43 83 25
20 1.4e-05 39 88 21
22 1.7e-05 47 103 26
24 2.1e-05 50 123 30
26 2.6e-05 46 142 19
28 3e-05 49 162 19
30 3.9e-05 72 181 26
33 5.1e-05 133 221 30
36 6.5e-05 1348 269 47
39 8.4e-05 1570 308 55
42 0.000101 1813 360 60
46 0.000141 2173 486 137
50 0.000174 2558 500 113
55 0.000234 3087 604 110
60 0.000308 3691 718 116
66 0.00042 4422 877 135
72 0.000549 5271 1179 192
79 0.000738 6333 1433 233
86 0.000989 7495 5091 359
94 0.001272 8797 43923 348
103 0.003072 10777 68218 456
113 0.003514 12898 93734 1072
124 0.003025 15463 122121 760
136 0.003948 18647 160418 1190
149 0.0052 22361 211262 1108
163 0.006848 26749 280767 1499
179 0.009192 31588 365737 2809
196 0.012046 38351 485346 4991
215 0.015991 46040 655224 17643
236 0.021102 55537 864092 54328
259 0.027836 66595 1.18243e+06 569374
284 0.036865 80307 1.85298e+06 984194
312 0.049046 97852 4.37935e+06 1.86532e+06
343 0.065024 117903 1.05616e+07 2.53149e+06
377 0.086306 142006 6.02399e+06 3.50308e+06
414 0.115041 171852 1.53421e+07 4.51225e+06
455 0.157092 207484 8.95401e+07 6.05346e+06
500 0.204925 250603 4.91186e+07 7.85253e+06
550 0.277764 303159 1.41571e+08 1.05317e+07
605 0.369335 366676 1.71339e+08 1.40714e+07
665 0.497607 442975 3.10948e+08 1.87168e+07
731 0.730745 535403 4.18528e+08 2.49231e+07
804 2.44884 647358 6.05321e+08 3.27892e+07
884 1.18391 782570 9.78117e+08 6.64646e+07
972 5.51629 945951 1.08683e+09 5.91574e+07
1069 3.781 1.1441e+06 1.70282e+09 1.05903e+08
1175 2.77072 1.38259e+06 2.27049e+09 1.5487e+08
1292 4.8506 1.67197e+06 2.76328e+09 1.76643e+08
1421 11.6599 2.02282e+06 3.45432e+09 2.58778e+08
1563 10.8107 2.44636e+06 4.06263e+09 2.58882e+08
1719 15.0135 2.95932e+06 5.40334e+09 3.22563e+08
1890 19.5081 3.57734e+06 7.55906e+09 4.58938e+08
